outcome,horizon,beta_crisis_FX,se_crisis_FX,p_crisis_FX,beta_normal_FX,se_normal_FX,p_normal_FX,gamma_crisis_Gas,se_crisis_Gas,p_crisis_Gas,gamma_normal_Gas,se_normal_Gas,p_normal_Gas,nobs
HICP_Total,0,0.17028768759764581,0.16152823774898362,0.2917782699456397,0.03355399979211138,0.08250143394302567,0.684222405362893,-0.010770462307393551,0.005376384455378091,0.045146068627875506,0.005811180696558503,0.0071227904248192045,0.41458174584393825,117
HICP_Total,1,0.34200103974091683,0.25494249554866294,0.17976366520802167,0.08224024300476053,0.13892338263657367,0.5538621545305351,-0.011732232902519702,0.009251813619242592,0.2047619307802151,0.011610965690159809,0.010850546623088474,0.28458277138958155,117
HICP_Total,2,0.49385654423825437,0.3097437893878569,0.11084571623288518,0.06379490528899523,0.18105603996455183,0.7245765832640909,8.246492362322042e-05,0.013904353312124371,0.9952678774660362,0.005010887335115182,0.01590973082407169,0.7527940045131625,116
HICP_Total,3,0.7040652952753494,0.36527848218377945,0.053920408633157314,0.05512920387971071,0.23542688279033525,0.8148553428539058,0.002462157774808465,0.013178447518200761,0.8517922332420911,0.01799984367529444,0.01750200056081431,0.30374058466468556,115
HICP_Total,4,0.7649370340263032,0.3605892048908134,0.03389209742764291,0.12642105580056032,0.25971625982696156,0.62642413776348,0.010646147435407809,0.012260111713102624,0.385199212331912,0.0102907442619538,0.018589013505987205,0.5798575463183949,114
HICP_Total,5,0.6419439784356208,0.33108099553938497,0.052509456379981286,0.34324735958818553,0.27454552331323456,0.21121246817883732,0.019070998177886926,0.013941513151308264,0.17133434540750092,0.007801473611514084,0.021445792528424816,0.7160249727578898,113
HICP_Total,6,0.7470851208435562,0.40722347187292507,0.0665675496416622,0.41240176620025093,0.3394928840464087,0.22445832605694704,0.030049595863841677,0.01459592585980089,0.039516660436857344,0.0146219285703881,0.029153559469927114,0.6159850437874437,112
HICP_Total,7,0.9076960215363256,0.4441598627815771,0.040990647212641784,0.3848012754309904,0.3667521660144185,0.2940799272803417,0.041346546771924036,0.016887551173628123,0.014351427485969797,0.024689908390833817,0.035714128397359796,0.489364164271072,111
HICP_Total,8,1.0129903346674898,0.500535298047457,0.04298929503945214,0.34687532084542516,0.40821854816624725,0.39547552329792046,0.05129905886235996,0.01954922835853921,0.008687920326333328,0.029089521873421044,0.042447743266374564,0.4931533920374582,110
HICP_Total,9,0.9262817520860877,0.49836615077938845,0.06307861321540613,0.5141484221203406,0.45926708394929366,0.2629278920298892,0.06101363949887854,0.02051797005737349,0.002942628738440209,0.02157807807920526,0.04877261071790423,0.6581838308764525,109
HICP_Total,10,1.0427427935238978,0.5150204907476568,0.04290200797639732,0.7136203028211323,0.5414767386409656,0.18753211191818853,0.06991400330137348,0.023495027616230527,0.0029232677019049164,0.014889059990463516,0.055240589297519016,0.7875209686042554,108
HICP_Total,11,0.9697663695775494,0.5425068214123026,0.07384616786107975,0.6633802875037946,0.5419219236786786,0.2209049979791513,0.07784831891816416,0.02640960320260645,0.003201189023198072,0.02006420126777298,0.0591108274953868,0.7342831065542521,107
HICP_Total,12,1.0142113665722012,0.5455658042792152,0.0630259597806083,0.7697561575423457,0.5631783023778671,0.17168574597361164,0.08602169639866661,0.028446457595509587,0.0024946778318457085,0.0132747548516009,0.06593620162485445,0.8404426880182162,106
HICP_Core,0,0.05480611519228751,0.06604780233547884,0.4066548775945166,0.027274386128118628,0.05717475450731268,0.6333368611590133,-0.0013489335128255488,0.002366989204162508,0.5687494320497143,-0.007116363648107754,0.004465087217064785,0.11098547199626531,117
HICP_Core,1,0.20516734017803737,0.09832865572658407,0.03692912218328739,0.026094771685277827,0.10091084160143958,0.7959497862340407,-0.0014991212152188006,0.006225257996741893,0.8097002824776707,-0.009203084434186085,0.009412578636292869,0.32820136674891986,117
HICP_Core,2,0.36001853253602667,0.17733656732917222,0.04234203915007652,-0.009775200197792239,0.1760263148288696,0.9557141532341814,0.00371663591063259,0.010140429302645148,0.7139796104271525,-0.013446164397009994,0.013483993076281106,0.31867008623336146,116
HICP_Core,3,0.42332131785760185,0.20925746972674442,0.04307637151688259,0.0382755740534251,0.20693746150423842,0.8532588131969974,0.005272454957055712,0.012650841041641757,0.6768487330258759,-0.013852122092397504,0.015904352019230548,0.38377367116634253,115
HICP_Core,4,0.4220158431199758,0.21671255612698043,0.051492430450266316,0.06324404833190253,0.22207960915594493,0.7758119462645965,0.01246438857907309,0.012143162903797222,0.3046780064242961,-0.01890194742646774,0.01798390344521477,0.29323650202428597,114
HICP_Core,5,0.3435926524087562,0.19997870368488035,0.08576994938536296,0.19407472595364136,0.21918218884683704,0.3759143275521678,0.01848426116380353,0.012008273447825624,0.12373258084920281,-0.019778806271261863,0.02002048131059845,0.323187612608979,113
HICP_Core,6,0.4719103367952624,0.21896592555537647,0.031147982356615558,0.18139805963014238,0.2412608880250107,0.4521261602814578,0.02520423680236103,0.012362153849951329,0.041467750852613915,-0.016662878774162487,0.02251057904200828,0.45916387392428604,112
HICP_Core,7,0.6264663159548868,0.18628104863257833,0.0007709564204527262,0.12447579534883871,0.2578882525349668,0.6293276650391901,0.03032009402365632,0.015406569637357242,0.04906829926819673,-0.008591141080832665,0.026695543726209962,0.7475895954572787,111
HICP_Core,8,0.7272333385624162,0.22405641735875703,0.0011713758006021977,-0.0005373556598257496,0.287350055556689,0.998507926041939,0.03873224786869992,0.017843279639275383,0.02995453227460565,-0.008246790385540232,0.030206186704739024,0.7848404553922737,110
