date,actual,synthetic,gap
2019-01-01,104.28,109.64225127711171,-5.36225127711171
2019-02-01,99.41,109.80491658863014,-10.394916588630139
2019-03-01,96.14,109.48174557154752,-13.34174557154752
2019-04-01,96.93,107.99934244178053,-11.06934244178052
2019-05-01,94.58,107.72754309606626,-13.147543096066258
2019-06-01,93.11,108.3616989749398,-15.2516989749398
2019-07-01,95.5,107.82051736438885,-12.320517364388849
2019-08-01,91.99,108.02034424803821,-16.03034424803822
2019-09-01,90.02,107.95510954948061,-17.935109549480615
2019-10-01,93.58,108.35179257145035,-14.771792571450348
2019-11-01,92.08,108.50081356668915,-16.420813566689148
2019-12-01,87.43,108.44938256166861,-21.019382561668607
2020-01-01,91.23,97.34495427750146,-6.114954277501454
2020-02-01,87.4,96.90885832555426,-9.508858325554257
2020-03-01,82.47,96.47075215180686,-14.000752151806864
2020-04-01,77.67,93.75124528761816,-16.08124528761816
2020-05-01,78.51,92.79135963752952,-14.281359637529519
2020-06-01,83.09,92.70146116974308,-9.61146116974308
2020-07-01,85.36,93.11215658417908,-7.752156584179076
2020-08-01,86.58,93.71785594483056,-7.137855944830562
2020-09-01,89.92,93.74287921878144,-3.8228792187814378
2020-10-01,87.5,95.60088480682445,-8.100884806824453
2020-11-01,90.54,95.85076405789165,-5.310764057891646
2020-12-01,92.6,95.89713475458166,-3.2971347545816627
2021-01-01,105.0,97.66367297486465,7.336327025135347
2021-02-01,84.65,98.33713048423749,-13.687130484237485
2021-03-01,94.49,98.76732920742292,-4.277329207422923
2021-04-01,106.36,99.83008681507457,6.529913184925434
2021-05-01,107.04,100.52848718465563,6.511512815344375
2021-06-01,113.93,101.15645732232255,12.773542677677455
2021-07-01,108.28,102.67859387204808,5.601406127951918
2021-08-01,116.77,104.84099009526227,11.929009904737725
2021-09-01,129.47,106.73211963010212,22.73788036989788
2021-10-01,142.45,113.84325547930983,28.606744520690157
2021-11-01,132.78,126.78972367711687,5.990276322883133
2021-12-01,159.25,134.463997867873,24.78600213212701
2022-01-01,153.71,143.17555814201808,10.534441857981932
2022-02-01,152.8,151.53985902980406,1.2601409701959483
2022-03-01,196.37,169.1083521493249,27.261647850675104
2022-04-01,143.48,159.1743364618867,-15.694336461886707
2022-05-01,139.35,151.09866529686332,-11.748665296863322
2022-06-01,152.0,151.13031866423884,0.8696813357611575
2022-07-01,161.75,164.1271518314158,-2.3771518314158016
2022-08-01,187.49,182.56586462742573,4.924135372574284
2022-09-01,155.65,208.75109212215918,-53.10109212215917
2022-10-01,120.56,247.88325911700352,-127.32325911700352
2022-11-01,103.01,236.73019221601245,-133.72019221601244
2022-12-01,110.19,221.855423621716,-111.665423621716
2023-01-01,90.96,202.0955728613912,-111.1355728613912
2023-02-01,102.39,193.43509310290054,-91.04509310290054
2023-03-01,94.74,171.06412700308795,-76.32412700308795
2023-04-01,91.59,161.67557684085983,-70.08557684085983
2023-05-01,90.71,158.87748645641213,-68.16748645641213
2023-06-01,94.16,143.57647990634277,-49.41647990634277
2023-07-01,93.95,138.4398329043032,-44.489832904303185
2023-08-01,94.49,139.17829592436576,-44.68829592436576
2023-09-01,96.02,138.50363488732512,-42.483634887325124
2023-10-01,94.0,141.8112296174791,-47.811229617479114
2023-11-01,88.96,140.66292978158418,-51.70292978158419
2023-12-01,91.12,140.19057464790583,-49.07057464790583
