date,description,rmspe,ate
2022-03-01,War Start/Initial Discussion,0.5731541376434552,-2.2973393307274463
2022-04-26,General Agreement Proposal,0.5890887085432832,-2.926077743214041
2022-06-01,Official Implementation (Baseline),0.589720944867438,-3.152198657816952
2022-07-01,Full Operation,0.6520370447232859,-3.553894013162552
