Donor Pool,RMSPE,ATE,Donors Used
Baseline,0.589720944867438,-3.152198657816952,5
Exclude France,0.5897209448643507,-3.152198607015473,4
Exclude Italy,1.476782855519909,-0.6707419547117229,4
Core Eurozone,1.4767828491678612,-0.6707264601075773,3
Southern Europe,1.1687100630651552,0.03136471680245285,3
Expanded,0.589720945033533,-3.152198900858657,6
