horizon,n_obs,r_squared,adj_r_squared,f_statistic,f_pvalue,DL_Gas_EUR_coef,DL_Gas_EUR_se,DL_Gas_EUR_tstat,DL_Gas_EUR_pvalue,DL_Gas_EUR_ci_lower,DL_Gas_EUR_ci_upper,DL_Gas_EUR_significant,DL_XR_Local_coef,DL_XR_Local_se,DL_XR_Local_tstat,DL_XR_Local_pvalue,DL_XR_Local_ci_lower,DL_XR_Local_ci_upper,DL_XR_Local_significant,Interaction_Gas_FX_coef,Interaction_Gas_FX_se,Interaction_Gas_FX_tstat,Interaction_Gas_FX_pvalue,Interaction_Gas_FX_ci_lower,Interaction_Gas_FX_ci_upper,Interaction_Gas_FX_significant,variable,country
1,127,0.0798583294737204,0.033851245947406405,0.8804801730762368,0.5115126595029862,0.05634985833864214,0.04793948515127012,1.1754372864212788,0.23981981348139658,-0.03761153255784729,0.15031124923513156,False,-0.5289381550241334,0.9126147362801793,-0.5795853759496445,0.562194257239901,-2.3176630381332846,1.259786728085018,False,-0.00515330710247201,0.023851519184883714,-0.2160578142853895,0.8289426823662382,-0.05190228470484409,0.04159567049990007,False,IP_Total,PL
2,126,0.08396398909376335,0.03777729946823882,1.688605568980896,0.129590000797501,0.07235499894983748,0.054295201817018815,1.3326223409884779,0.18265576982716236,-0.034063596611519406,0.17877359451119434,False,0.7113163366472559,0.9294477122303415,0.7653107617429619,0.4440865172498478,-1.1104011793242134,2.5330338526187255,False,-0.01543230031689855,0.02026873840050784,-0.7613843551561102,0.4464275291805666,-0.05515902758189392,0.024294426948096817,False,IP_Total,PL
3,125,0.0786340788641301,0.031784964230102686,1.482962821199784,0.1898280117107511,0.0522248065684037,0.0500087904399628,1.0443125320357687,0.2963408166461007,-0.04579242269392339,0.15024203583073079,False,1.7820726515462304,1.2362377849461388,1.4415290272201742,0.1494352828534751,-0.6409534069482017,4.205098710040662,False,-0.016932666400862523,0.023604300383109636,-0.7173551482584467,0.4731549870421483,-0.06319709515175741,0.02933176235003236,False,IP_Total,PL
4,124,0.05516701895041343,0.0067140455632550555,1.9336180397006846,0.08099483720365083,0.028027863647534165,0.04488652028492075,0.6244160489524488,0.532354387905889,-0.0599497161109105,0.11600544340597883,False,1.1130133440283296,0.9433864452677668,1.1798063769216194,0.23807723268661674,-0.7360240886964933,2.9620507767531525,False,-0.005475555519204648,0.016381823047618933,-0.33424579811955113,0.7381940873715139,-0.03758392869253775,0.02663281765412846,False,IP_Total,PL
5,123,0.04427246164064058,-0.005161721377946904,1.4392715995036582,0.20557065004414288,-0.027793096299565494,0.06923702175468305,-0.4014195815360245,0.688111234948235,-0.16349765893874427,0.10791146633961327,False,0.9785273592964013,0.8567345758542209,1.1421592951594663,0.2533878121311497,-0.7006724093778715,2.657727127970674,False,0.008115730552889123,0.021036170433237515,0.38579885909586126,0.6996456403239646,-0.03311516349625641,0.04934662460203466,False,IP_Total,PL
6,122,0.04291026362216521,-0.00702485305841738,1.9760117042535885,0.07469492270784056,0.016592133025064203,0.0578433183102,0.28684614765848193,0.774230126273872,-0.0967807708629278,0.1299650369130562,False,0.926899471710698,0.842491525506137,1.1001884810103602,0.271250008408931,-0.7243839182813305,2.5781828617027265,False,-0.004682542889073745,0.018024925972613733,-0.25978153231742485,0.7950322970850451,-0.04001139779539666,0.030646312017249176,False,IP_Total,PL
7,121,0.04205927718944269,-0.008358655590060327,2.300552341598902,0.03916616087287821,0.02495462101782545,0.05864345905276754,0.42553119172883735,0.670449488332316,-0.08998655872559894,0.13989580076124983,False,0.8888891291897584,0.9460722819833708,0.9395573109131449,0.34744468200856526,-0.9654125434976483,2.743190801877165,False,-0.0019565378725708554,0.019880440809619267,-0.0984152158046804,0.9216025928678141,-0.04092220185942462,0.037009126114282906,False,IP_Total,PL
8,120,0.055756164077817916,0.005619323232392226,3.2082288902992526,0.006026327192679038,0.08343045459836052,0.05722244645293995,1.4580022311170175,0.14483992804029697,-0.028725540449401787,0.19558644964612282,False,1.3944570392142261,1.2257575493152293,1.137628758634398,0.255275532746823,-1.0080277574436232,3.7969418358720755,False,-0.03561713368319905,0.03517316907532988,-1.0126222521183217,0.3112406269395198,-0.10455654507084561,0.03332227770444751,False,IP_Total,PL
9,119,0.06143164034637549,0.011151192507788399,2.362427983326135,0.03467898608757145,0.06832523732108504,0.055731605810281235,1.2259692920687486,0.22021023109653604,-0.04090871006706617,0.17755918470923626,False,2.23785917971154,1.3156742593597688,1.7009219142134189,0.08895765099732926,-0.34086236863360675,4.816580728056687,False,-0.04592513101486977,0.03191799394695915,-1.438847663521319,0.15019368859463814,-0.10848439915090971,0.016634137121170157,False,IP_Total,PL
10,118,0.10412424940989118,0.05569853316177731,3.398482528214363,0.00407945840672055,0.14186962522106503,0.06589466716659699,2.152975822191889,0.031320578749276524,0.01271607757453494,0.27102317286759514,True,2.984340080106972,1.5011241196971612,1.9880701675148869,0.046803930205529864,0.04213680550053622,5.926543354713408,True,-0.08455616926520454,0.04488406443022168,-1.8838795090996825,0.05958127552258954,-0.172528935548439,0.003416597018029946,False,IP_Total,PL
11,117,0.0932018710016852,0.043740154874504444,3.5064077965231846,0.0032696895626541994,0.14649576201693884,0.06357180267559887,2.304414156139215,0.02119940610461274,0.02189502877276507,0.2710964952611126,True,2.776065153893096,1.260276760510054,2.202742477588477,0.027612904523402197,0.30592270329339044,5.246207604492802,True,-0.07092508040224521,0.029417627948166918,-2.410972105814015,0.015910065211528927,-0.12858363118065236,-0.01326652962383805,True,IP_Total,PL
12,116,0.1064770261200847,0.05729227526430969,2.8962687213772242,0.011694294977863257,0.1936685558834873,0.09573387066704676,2.0229888808846765,0.043074293911664445,0.006030169376075645,0.38130694239089896,True,2.822969540538419,1.3272371379336794,2.12695189115442,0.033424080662133274,0.2215847501884074,5.4243543308884306,True,-0.06683863686846603,0.04058277417486491,-1.6469706230645706,0.09956408422854116,-0.14638087425120125,0.012703600514269192,False,IP_Total,PL
