horizon,irf,lower,upper,country,variable
0,1.0747542039533813,-0.3845489680301346,2.5340573759368974,ES,HICP_Total
1,2.0498011991649863,-0.6146399902296493,4.714242388559622,ES,HICP_Total
2,2.1649624978185193,0.13605158202605505,4.193873413610984,ES,HICP_Total
3,2.690767891366565,0.8551045072413783,4.526431275491752,ES,HICP_Total
4,3.515237299623489,1.1935267437787807,5.836947855468198,ES,HICP_Total
5,2.4703123926172945,0.42698671322986126,4.513638072004728,ES,HICP_Total
6,2.2656579514625537,0.022270398208845243,4.509045504716262,ES,HICP_Total
7,2.8166026516473495,-0.03308710570895679,5.666292409003656,ES,HICP_Total
8,3.408514963746115,0.6355898883242701,6.18144003916796,ES,HICP_Total
9,4.197681200979975,1.4413740144745226,6.953988387485428,ES,HICP_Total
10,4.465013272274109,2.090853506176711,6.8391730383715075,ES,HICP_Total
11,2.9402956532641262,0.052523479301330944,5.8280678272269215,ES,HICP_Total
12,3.2837560493110716,-0.8720592579520381,7.439571356574181,ES,HICP_Total
0,0.2561390504663991,-1.5366196832927925,2.048897784225591,ES,HICP_Core
1,0.6826758027764634,-2.1069585604475485,3.472310166000476,ES,HICP_Core
2,0.7858804468131155,-1.6064417032814893,3.1782025969077203,ES,HICP_Core
3,0.2428901420561942,-1.2938927633966006,1.779673047508989,ES,HICP_Core
4,0.7221710810733641,-1.0381885951550234,2.4825307573017517,ES,HICP_Core
5,1.513066082140327,-0.2185104228738417,3.2446425871544955,ES,HICP_Core
6,1.4003802845460382,-0.9096526172510375,3.7104131863431142,ES,HICP_Core
7,1.1798647937115627,-1.8018635499771574,4.161593137400283,ES,HICP_Core
8,1.0674605401720123,-1.237196863539716,3.3721179438837403,ES,HICP_Core
9,1.074136054990374,-0.7427944926805234,2.8910666026612715,ES,HICP_Core
10,1.4999144974871412,-0.3931286400714593,3.3929576350457418,ES,HICP_Core
11,1.3341827330098195,-0.6153782008149342,3.283743666834573,ES,HICP_Core
12,2.019684231824323,-0.7451551867708579,4.784523650419504,ES,HICP_Core
0,16.052341407596415,-4.15114404737119,36.25582686256402,ES,IP_Total
1,11.973443589187024,-5.811737858717752,29.7586250370918,ES,IP_Total
2,7.314876589029958,-5.118771557849777,19.748524735909694,ES,IP_Total
3,-5.661385280456659,-17.783994106637177,6.46122354572386,ES,IP_Total
4,-5.317324954932692,-17.766231532797953,7.13158162293257,ES,IP_Total
5,-4.754988830302792,-15.475291327250272,5.965313666644687,ES,IP_Total
6,-7.766678550597535,-20.276384784814354,4.743027683619283,ES,IP_Total
7,2.545233222715742,-8.087190305666633,13.177656751098118,ES,IP_Total
8,-0.8240499390049771,-11.871970173393855,10.2238702953839,ES,IP_Total
9,6.660510476608884,-7.476871548381915,20.797892501599684,ES,IP_Total
10,1.0043408006374168,-9.75152583068456,11.760207431959394,ES,IP_Total
11,-1.2703659249217756,-14.057389954281714,11.51665810443816,ES,IP_Total
12,-3.602682059388216,-18.648741322179138,11.443377203402704,ES,IP_Total
0,0.22886901522811043,-0.8335417914595761,1.291279821915797,PL,HICP_Total
1,0.33717151924041916,-1.6551406110077833,2.3294836494886217,PL,HICP_Total
2,0.7164510232018614,-1.7102222480198104,3.1431242944235334,PL,HICP_Total
3,0.7512567977222553,-2.154475719513366,3.656989314957876,PL,HICP_Total
4,0.447043742501711,-2.7888630228679965,3.6829505078714186,PL,HICP_Total
5,0.28244362099033704,-3.0124899423634064,3.5773771843440807,PL,HICP_Total
6,0.8925454454175874,-2.607156000780798,4.392246891615972,PL,HICP_Total
7,1.7794050638692382,-2.104536540101676,5.663346667840153,PL,HICP_Total
8,2.4207991393905113,-1.4425623068913294,6.2841605856723515,PL,HICP_Total
9,2.7387489618098524,-1.0765928732880368,6.554090796907742,PL,HICP_Total
10,3.2143087692336714,-1.0101679765580514,7.438785515025394,PL,HICP_Total
11,3.540997057236156,-1.584008063954574,8.666002178426886,PL,HICP_Total
12,4.030063914030352,-1.7373924107876455,9.79752023884835,PL,HICP_Total
0,-0.5622757640765813,-1.045240076238989,-0.07931145191417366,PL,HICP_Core
1,-1.0274665672315595,-2.098363648952122,0.043430514489002814,PL,HICP_Core
2,-0.8491980278678251,-2.3416983686960826,0.6433023129604327,PL,HICP_Core
3,-1.1121118080868004,-2.879135161530545,0.6549115453569441,PL,HICP_Core
4,-1.3213509493893016,-3.1566141649546196,0.5139122661760163,PL,HICP_Core
5,-1.3927684048440436,-3.3966635036676633,0.6111266939795763,PL,HICP_Core
6,-1.2271116735034855,-3.5286089995662033,1.0743856525592326,PL,HICP_Core
7,-0.99046785612869,-3.6221893682020325,1.6412536559446527,PL,HICP_Core
8,-0.8326428901878073,-3.390725847468389,1.7254400670927743,PL,HICP_Core
9,-0.7359611442336429,-3.392113893166141,1.9201916046988554,PL,HICP_Core
10,-0.6502343206650435,-3.4938402114125444,2.193371570082457,PL,HICP_Core
11,-0.4160334835105944,-3.5165237511629117,2.684456784141723,PL,HICP_Core
12,-0.178221162868773,-3.566010768936974,3.2095684431994282,PL,HICP_Core
0,11.998966170648867,-2.774145933756829,26.77207827505456,PL,IP_Total
1,3.103155643384394,-11.68244674162367,17.88875802839246,PL,IP_Total
2,10.547706007496911,-6.185416932331529,27.280828947325354,PL,IP_Total
3,-2.9664250151849965,-20.214139245989983,14.281289215619992,PL,IP_Total
4,-7.228905350418733,-22.822825572159992,8.365014871322526,PL,IP_Total
5,-6.213962483692013,-22.783439355934895,10.355514388550867,PL,IP_Total
6,-7.8565945831506205,-25.142130066746805,9.428940900445564,PL,IP_Total
