horizon,irf,lower,upper,country,variable
0,1.5544594161820537,0.5982018522433765,2.5107169801207307,ES,HICP_Total_YoY
1,1.5724912181318265,-0.20334227845352082,3.3483247147171737,ES,HICP_Total_YoY
2,1.474998797253974,-0.30374276810327694,3.253740362611225,ES,HICP_Total_YoY
3,1.7615639980150932,-0.30023582074197264,3.823363816772159,ES,HICP_Total_YoY
4,1.6448489135029465,-0.7806915163614387,4.0703893433673315,ES,HICP_Total_YoY
5,1.9704379093284778,-0.5366394030127357,4.477515221669691,ES,HICP_Total_YoY
6,1.970100774996095,-0.21813271952136914,4.158334269513559,ES,HICP_Total_YoY
7,2.573142008660995,0.2540875085076726,4.892196508814317,ES,HICP_Total_YoY
8,2.682399533500957,-0.14759483783125438,5.512393904833168,ES,HICP_Total_YoY
9,3.511492578766317,0.6825287616327986,6.340456395899835,ES,HICP_Total_YoY
10,3.628413237649603,0.9485421535225202,6.308284321776686,ES,HICP_Total_YoY
11,2.5904321414435034,0.5473238270139436,4.633540455873064,ES,HICP_Total_YoY
12,1.6297812333475858,-0.48663423974129905,3.7461967064364705,ES,HICP_Total_YoY
0,0.07046081290889578,-0.3587771575813216,0.49969878339911317,ES,HICP_Core_YoY
1,-0.2296966936845839,-0.9579431196190792,0.4985497322499114,ES,HICP_Core_YoY
2,0.06321281066064784,-0.738310408482272,0.8647360298035678,ES,HICP_Core_YoY
3,0.39205698544355394,-0.5858245628506119,1.3699385337377197,ES,HICP_Core_YoY
4,0.47016706754334253,-0.538774301012956,1.479108436099641,ES,HICP_Core_YoY
5,0.805331310184868,-0.2894305335917775,1.9000931539615136,ES,HICP_Core_YoY
6,0.700105466774291,-0.3401440274501326,1.7403549609987146,ES,HICP_Core_YoY
7,0.9440292170493566,-0.04790169468840544,1.9359601287871187,ES,HICP_Core_YoY
8,0.8081418649118913,-0.2955449594630907,1.9118286892868732,ES,HICP_Core_YoY
9,0.8787539824080396,-0.3568892165954859,2.114397181411565,ES,HICP_Core_YoY
10,0.9888055833557188,-0.3615931124729408,2.3392042791843783,ES,HICP_Core_YoY
11,1.0446790149972593,-0.21574689554900583,2.3051049255435245,ES,HICP_Core_YoY
12,1.2212711060219843,0.09882428586611636,2.3437179261778525,ES,HICP_Core_YoY
0,13.300902178654551,-4.081909597664792,30.683713954973896,ES,IP_Total_YoY
1,13.666337013429715,-4.668673802417679,32.00134782927711,ES,IP_Total_YoY
2,11.701129374857791,-5.232496816141547,28.634755565857127,ES,IP_Total_YoY
3,6.83231890474427,-14.513529004773854,28.178166814262394,ES,IP_Total_YoY
4,1.9720739495787754,-11.803643502813193,15.747791401970742,ES,IP_Total_YoY
5,-4.579065235865134,-13.186126464120466,4.027995992390199,ES,IP_Total_YoY
6,-7.5830930586180525,-18.042140235024455,2.8759541177883516,ES,IP_Total_YoY
7,-2.2994575092576195,-10.221416595816994,5.622501577301754,ES,IP_Total_YoY
8,-0.5775779113195971,-10.895062218937511,9.739906396298316,ES,IP_Total_YoY
9,22.409065328446857,5.483030300241364,39.33510035665235,ES,IP_Total_YoY
10,22.578205857185324,-1.1125038377545629,46.26891555212521,ES,IP_Total_YoY
11,-18.00426546096172,-35.26035972104707,-0.7481712008763672,ES,IP_Total_YoY
12,-30.712430350479867,-59.67939343585826,-1.7454672651014782,ES,IP_Total_YoY
0,-0.12518046683761946,-0.9459405864040433,0.6955796527288043,PL,HICP_Total_YoY
1,-0.412845937358707,-1.7708584340058655,0.9451665592884515,PL,HICP_Total_YoY
2,-0.2167458976460402,-2.0443020129063307,1.6108102176142503,PL,HICP_Total_YoY
3,-0.2505951488900853,-2.3847158395129733,1.8835255417328027,PL,HICP_Total_YoY
4,-0.7200451603199718,-3.1314376767245204,1.6913473560845769,PL,HICP_Total_YoY
5,-1.090610381040966,-3.733141153277126,1.5519203911951938,PL,HICP_Total_YoY
6,-0.9718833999577962,-3.901156419501981,1.9573896195863885,PL,HICP_Total_YoY
7,-0.043953883915076215,-3.4356006248273405,3.3476928569971878,PL,HICP_Total_YoY
8,0.5261794988300078,-3.179873125639178,4.232232123299194,PL,HICP_Total_YoY
9,1.1573218395410494,-2.587063180132424,4.901706859214523,PL,HICP_Total_YoY
10,2.025551599520386,-2.2796819905736636,6.330785189614435,PL,HICP_Total_YoY
11,1.8499658700591397,-3.2810466756159364,6.980978415734215,PL,HICP_Total_YoY
12,1.9439071377489978,-3.6385811468046287,7.526395422302624,PL,HICP_Total_YoY
0,-0.8506651509298107,-1.6698444358997686,-0.03148586595985259,PL,HICP_Core_YoY
1,-1.8715867764040806,-3.1270948744881344,-0.6160786783200267,PL,HICP_Core_YoY
2,-2.428583002236466,-4.182729005769414,-0.6744369987035175,PL,HICP_Core_YoY
3,-2.8759874090703215,-4.896286086410255,-0.8556887317303881,PL,HICP_Core_YoY
4,-3.281686001240487,-5.500320232356852,-1.063051770124122,PL,HICP_Core_YoY
5,-3.342830993117424,-6.035876591253954,-0.6497853949808938,PL,HICP_Core_YoY
6,-3.491387865081388,-6.537305633405616,-0.4454700967571603,PL,HICP_Core_YoY
7,-2.9043055737518157,-6.287501319268738,0.4788901717651064,PL,HICP_Core_YoY
8,-2.678008763241182,-6.39005511058296,1.0340375841005955,PL,HICP_Core_YoY
9,-2.374528971856451,-6.470085076711231,1.721027132998329,PL,HICP_Core_YoY
10,-2.1778860070986994,-6.664565242166935,2.3087932279695362,PL,HICP_Core_YoY
11,-2.1201822459782584,-7.0854343871522225,2.845069895195706,PL,HICP_Core_YoY
