date,Date,Actual,Synthetic,Gap,Actual_YoY,Synthetic_YoY
2023-09-01,2023-09-01,126.42,163.74936206663097,-37.329362066630964,-13.765347885402445,-2.0643643309724125
2023-10-01,2023-10-01,123.62,163.62732850068733,-40.00732850068732,-10.127226463104332,-19.262681944408257
2023-11-01,2023-11-01,118.34,158.53914348035195,-40.19914348035195,-9.788077450830922,-22.17552365579989
2023-12-01,2023-12-01,116.35,154.95519193714094,-38.605191937140944,-6.154218422326185,-21.696267281749304
2024-01-01,2024-01-01,120.84,157.1577595736095,-36.31775957360949,-2.3830680992002584,-17.835251873685653
2024-02-01,2024-02-01,120.85,156.37735474750926,-35.527354747509264,-4.572015161086551,-14.882169431866965
2024-03-01,2024-03-01,124.25,154.2204979994498,-29.970497999449805,1.5944399018806177,-8.845293265658427
2024-04-01,2024-04-01,126.01,151.0102361467116,-25.0002361467116,4.982087811380498,-10.058842372551446
2024-05-01,2024-05-01,125.52,149.38221997517724,-23.86221997517724,7.881392350666094,-9.658197395133229
2024-06-01,2024-06-01,125.22,148.23324306553155,-23.013243065531555,5.983918747355044,-7.177541521896746
2024-07-01,2024-07-01,122.57,152.40398990511613,-29.83398990511614,2.646344527259026,-3.4728383291830367
2024-08-01,2024-08-01,121.63,151.13029191710638,-29.50029191710638,-1.6813515479750962,-6.158548147239351
2024-09-01,2024-09-01,117.9,149.26881738186037,-31.368817381860367,-6.739439962031324,-8.843115174322536
2024-10-01,2024-10-01,118.71,148.5383775951202,-29.828377595120216,-3.971849215337331,-9.221534717841307
2024-11-01,2024-11-01,121.4,149.07284909600787,-27.672849096007866,2.5857698157850217,-5.970950880983694
2024-12-01,2024-12-01,122.76,149.81570507679876,-27.05570507679876,5.509239363987972,-3.3167567966532308
